ROUND;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108
USERGRP11;3;3;1;2;2;1;1;3;2;1;3;2;1;2;3;3;1;3;2;1;1;3;2;1;3;2;3;1;1;3;3;1;2;1;1;1;1;1;2;2;1;2;1;3;1;1;1;1;1;1;3;2;1;3;3;3;2;3;2;3;2;3;3;3;3;3;1;3;3;2;1;2;1;1;3;1;2;3;2;3;1;2;1;3;3;1;1;2;1;2;2;1;2;1;1;2;3;3;3;1;1;2;1;1;2;1;2;2
USERGRP12;1;2;3;3;2;3;1;3;3;2;1;1;1;1;3;1;1;2;3;2;3;1;3;3;2;2;3;1;1;3;3;3;1;1;1;1;3;3;1;2;2;1;1;3;2;1;3;2;1;2;3;3;1;3;2;1;1;3;2;1;3;2;3;1;1;3;3;1;2;1;1;1;1;1;2;2;1;2;1;3;1;1;1;1;1;1;3;2;1;3;3;3;2;3;2;3;2;3;3;3;3;3;1;3;3;2;1;2
USERGRP13;2;2;2;3;3;2;3;2;1;2;2;1;2;1;1;2;3;2;1;1;3;2;1;1;1;1;1;2;1;2;1;2;3;2;3;3;1;2;3;3;2;3;1;3;3;2;1;1;1;1;3;1;1;2;3;2;3;1;3;3;2;2;3;1;1;3;3;3;1;1;1;1;3;3;1;2;2;1;1;3;2;1;3;2;1;2;3;3;1;3;2;1;1;3;2;1;3;2;3;1;1;3;3;1;2;1;1;1
USERGRP14;3;3;2;2;2;2;3;3;3;3;2;2;3;2;1;3;1;2;2;3;2;1;3;2;2;2;3;3;1;3;3;3;3;2;3;3;2;2;2;3;3;2;3;2;1;2;2;1;2;1;1;2;3;2;1;1;3;2;1;1;1;1;1;2;1;2;1;2;3;2;3;3;1;2;3;3;2;3;1;3;3;2;1;1;1;1;3;1;1;2;3;2;3;1;3;3;2;2;3;1;1;3;3;3;1;1;1;1
USERGRP15;1;1;3;1;3;1;3;1;2;1;1;3;3;2;1;3;1;3;2;1;1;2;2;1;2;2;1;1;1;2;1;2;1;1;3;1;3;3;2;2;2;2;3;3;3;3;2;2;3;2;1;3;1;2;2;3;2;1;3;2;2;2;3;3;1;3;3;3;3;2;3;3;2;2;2;3;3;2;3;2;1;2;2;1;2;1;1;2;3;2;1;1;3;2;1;1;1;1;1;2;1;2;1;2;3;2;3;3
USERGRP16;1;1;1;2;3;2;3;2;1;1;2;2;3;2;1;1;2;3;2;2;2;3;3;2;2;1;1;2;1;3;2;3;2;3;1;2;1;1;3;1;3;1;3;1;2;1;1;3;3;2;1;3;1;3;2;1;1;2;2;1;2;2;1;1;1;2;1;2;1;1;3;1;3;3;2;2;2;2;3;3;3;3;2;2;3;2;1;3;1;2;2;3;2;1;3;2;2;2;3;3;1;3;3;3;3;2;3;3
USERGRP17;1;1;1;1;1;1;1;1;3;3;1;3;1;3;1;1;3;2;1;3;1;3;1;3;1;1;2;1;3;2;2;3;2;2;3;3;1;1;1;2;3;2;3;2;1;1;2;2;3;2;1;1;2;3;2;2;2;3;3;2;2;1;1;2;1;3;2;3;2;3;1;2;1;1;3;1;3;1;3;1;2;1;1;3;3;2;1;3;1;3;2;1;1;2;2;1;2;2;1;1;1;2;1;2;1;1;3;1
USERGRP18;1;2;3;3;1;2;3;1;3;1;3;3;3;1;2;1;3;3;1;3;3;1;2;1;1;1;3;3;2;1;1;2;1;3;1;1;1;1;1;1;1;1;1;1;3;3;1;3;1;3;1;1;3;2;1;3;1;3;1;3;1;1;2;1;3;2;2;3;2;2;3;3;1;1;1;2;3;2;3;2;1;1;2;2;3;2;1;1;2;3;2;2;2;3;3;2;2;1;1;2;1;3;2;3;2;3;1;2
USERGRP19;1;2;3;1;3;1;2;3;2;3;2;2;1;3;1;1;3;1;1;2;1;1;3;1;2;3;2;2;3;3;2;3;1;2;1;1;1;2;3;3;1;2;3;1;3;1;3;3;3;1;2;1;3;3;1;3;3;1;2;1;1;1;3;3;2;1;1;2;1;3;1;1;1;1;1;1;1;1;1;1;3;3;1;3;1;3;1;1;3;2;1;3;1;3;1;3;1;1;2;1;3;2;2;3;2;2;3;3
USERGRP20;3;2;1;3;3;1;1;1;2;2;2;2;3;3;2;3;3;3;2;2;1;1;2;1;3;1;1;2;3;2;3;1;2;3;1;1;1;2;3;1;3;1;2;3;2;3;2;2;1;3;1;1;3;1;1;2;1;1;3;1;2;3;2;2;3;3;2;3;1;2;1;1;1;2;3;3;1;2;3;1;3;1;3;3;3;1;2;1;3;3;1;3;3;1;2;1;1;1;3;3;2;1;1;2;1;3;1;1
USERGRP21;3;3;1;3;1;2;1;3;1;1;1;1;2;2;3;3;2;3;2;1;2;3;1;1;3;1;2;1;3;3;2;3;2;3;2;3;3;2;1;3;3;1;1;1;2;2;2;2;3;3;2;3;3;3;2;2;1;1;2;1;3;1;1;2;3;2;3;1;2;3;1;1;1;2;3;1;3;1;2;3;2;3;2;2;1;3;1;1;3;1;1;2;1;1;3;1;2;3;2;2;3;3;2;3;1;2;1;1
USERGRP22;1;2;1;3;3;2;2;3;3;2;1;2;2;3;3;3;3;1;2;2;1;2;1;3;3;3;3;1;1;3;2;1;2;3;2;2;3;3;1;3;1;2;1;3;1;1;1;1;2;2;3;3;2;3;2;1;2;3;1;1;3;1;2;1;3;3;2;3;2;3;2;3;3;2;1;3;3;1;1;1;2;2;2;2;3;3;2;3;3;3;2;2;1;1;2;1;3;1;1;2;3;2;3;1;2;3;1;1
USERGRP23;3;1;1;2;2;2;2;1;1;3;3;1;3;1;2;2;3;1;1;2;3;1;2;2;3;1;2;2;3;3;1;1;1;1;3;1;1;2;1;3;3;2;2;3;3;2;1;2;2;3;3;3;3;1;2;2;1;2;1;3;3;3;3;1;1;3;2;1;2;3;2;2;3;3;1;3;1;2;1;3;1;1;1;1;2;2;3;3;2;3;2;1;2;3;1;1;3;1;2;1;3;3;2;3;2;3;2;3
USERGRP24;1;1;2;2;2;2;1;2;1;3;2;1;2;1;1;3;3;3;1;1;3;2;1;3;3;1;3;2;1;2;2;3;3;2;3;2;3;1;1;2;2;2;2;1;1;3;3;1;3;1;2;2;3;1;1;2;3;1;2;2;3;1;2;2;3;3;1;1;1;1;3;1;1;2;1;3;3;2;2;3;3;2;1;2;2;3;3;3;3;1;2;2;1;2;1;3;3;3;3;1;1;3;2;1;2;3;2;2
USERGRP25;3;1;1;3;1;1;2;2;3;3;1;3;3;3;2;3;2;1;1;1;3;2;2;1;2;3;3;1;3;2;2;2;1;2;1;1;1;1;2;2;2;2;1;2;1;3;2;1;2;1;1;3;3;3;1;1;3;2;1;3;3;1;3;2;1;2;2;3;3;2;3;2;3;1;1;2;2;2;2;1;1;3;3;1;3;1;2;2;3;1;1;2;3;1;2;2;3;1;2;2;3;3;1;1;1;1;3;1
USERGRP26;3;3;1;2;1;2;3;1;3;3;2;3;2;1;1;1;2;1;2;3;2;3;2;3;3;2;3;1;1;1;1;1;2;3;1;1;3;1;1;3;1;1;2;2;3;3;1;3;3;3;2;3;2;1;1;1;3;2;2;1;2;3;3;1;3;2;2;2;1;2;1;1;1;1;2;2;2;2;1;2;1;3;2;1;2;1;1;3;3;3;1;1;3;2;1;3;3;1;3;2;1;2;2;3;3;2;3;2
USERGRP27;1;1;1;3;3;1;2;2;2;1;3;2;1;3;3;3;1;1;2;3;1;2;2;3;3;3;3;2;2;1;1;2;3;1;1;3;3;3;1;2;1;2;3;1;3;3;2;3;2;1;1;1;2;1;2;3;2;3;2;3;3;2;3;1;1;1;1;1;2;3;1;1;3;1;1;3;1;1;2;2;3;3;1;3;3;3;2;3;2;1;1;1;3;2;2;1;2;3;3;1;3;2;2;2;1;2;1;1
USERGRP28;1;1;1;3;3;2;1;1;3;3;3;1;1;1;2;3;1;2;3;1;3;3;3;2;1;2;3;1;3;3;1;2;3;2;3;2;1;1;1;3;3;1;2;2;2;1;3;2;1;3;3;3;1;1;2;3;1;2;2;3;3;3;3;2;2;1;1;2;3;1;1;3;3;3;1;2;1;2;3;1;3;3;2;3;2;1;1;1;2;1;2;3;2;3;2;3;3;2;3;1;1;1;1;1;2;3;1;1
USERGRP29;3;3;2;1;2;2;1;1;1;2;3;3;2;2;2;3;1;1;3;2;2;2;3;1;3;3;3;1;2;3;1;1;2;2;3;2;1;1;1;3;3;2;1;1;3;3;3;1;1;1;2;3;1;2;3;1;3;3;3;2;1;2;3;1;3;3;1;2;3;2;3;2;1;1;1;3;3;1;2;2;2;1;3;2;1;3;3;3;1;1;2;3;1;2;2;3;3;3;3;2;2;1;1;2;3;1;1;3
USERGRP30;2;2;1;1;1;3;1;1;1;3;3;1;3;2;3;3;1;1;1;2;2;2;2;1;1;2;3;3;1;1;2;3;3;3;2;1;3;3;2;1;2;2;1;1;1;2;3;3;2;2;2;3;1;1;3;2;2;2;3;1;3;3;3;1;2;3;1;1;2;2;3;2;1;1;1;3;3;2;1;1;3;3;3;1;1;1;2;3;1;2;3;1;3;3;3;2;1;2;3;1;3;3;1;2;3;2;3;2
USERGRP31;1;3;1;2;2;2;2;2;3;3;1;2;1;2;3;1;1;3;3;3;2;1;2;3;3;2;2;1;1;1;2;1;1;2;3;1;2;2;1;1;1;3;1;1;1;3;3;1;3;2;3;3;1;1;1;2;2;2;2;1;1;2;3;3;1;1;2;3;3;3;2;1;3;3;2;1;2;2;1;1;1;2;3;3;2;2;2;3;1;1;3;2;2;2;3;1;3;3;3;1;2;3;1;1;2;2;3;2
USERGRP32;3;3;2;2;3;3;1;1;2;1;2;1;3;1;3;1;1;2;3;2;2;3;3;2;3;2;2;1;1;2;2;1;1;3;1;2;1;3;1;2;2;2;2;2;3;3;1;2;1;2;3;1;1;3;3;3;2;1;2;3;3;2;2;1;1;1;2;1;1;2;3;1;2;2;1;1;1;3;1;1;1;3;3;1;3;2;3;3;1;1;1;2;2;2;2;1;1;2;3;3;1;1;2;3;3;3;2;1
USERGRP33;2;1;1;1;1;3;3;3;2;2;3;1;2;1;1;2;1;2;2;1;1;2;2;1;2;3;3;2;1;3;3;3;2;3;3;3;3;3;2;2;3;3;1;1;2;1;2;1;3;1;3;1;1;2;3;2;2;3;3;2;3;2;2;1;1;2;2;1;1;3;1;2;1;3;1;2;2;2;2;2;3;3;1;2;1;2;3;1;1;3;3;3;2;1;2;3;3;2;2;1;1;1;2;1;1;2;3;1
USERGRP34;1;3;3;3;1;2;1;3;1;3;2;3;1;1;1;2;3;1;2;3;2;2;3;1;3;1;2;3;3;2;1;3;3;2;3;2;2;1;1;1;1;3;3;3;2;2;3;1;2;1;1;2;1;2;2;1;1;2;2;1;2;3;3;2;1;3;3;3;2;3;3;3;3;3;2;2;3;3;1;1;2;1;2;1;3;1;3;1;1;2;3;2;2;3;3;2;3;2;2;1;1;2;2;1;1;3;1;2
USERGRP35;3;2;1;1;2;3;3;3;3;2;1;1;1;3;2;3;2;2;1;2;2;1;3;1;1;3;3;3;1;3;2;3;3;3;3;3;1;3;3;3;1;2;1;3;1;3;2;3;1;1;1;2;3;1;2;3;2;2;3;1;3;1;2;3;3;2;1;3;3;2;3;2;2;1;1;1;1;3;3;3;2;2;3;1;2;1;1;2;1;2;2;1;1;2;2;1;2;3;3;2;1;3;3;3;2;3;3;3
USERGRP36;3;1;3;2;1;3;3;1;1;1;2;2;3;1;1;2;2;3;2;3;2;1;2;2;3;2;3;3;1;1;1;2;3;1;2;1;3;2;1;1;2;3;3;3;3;2;1;1;1;3;2;3;2;2;1;2;2;1;3;1;1;3;3;3;1;3;2;3;3;3;3;3;1;3;3;3;1;2;1;3;1;3;2;3;1;1;1;2;3;1;2;3;2;2;3;1;3;1;2;3;3;2;1;3;3;2;3;2
USERGRP37;1;3;1;3;3;1;3;3;1;3;2;3;2;1;2;2;1;2;2;2;3;2;2;3;3;2;1;3;2;3;1;2;1;1;3;2;3;1;3;2;1;3;3;1;1;1;2;2;3;1;1;2;2;3;2;3;2;1;2;2;3;2;3;3;1;1;1;2;3;1;2;1;3;2;1;1;2;3;3;3;3;2;1;1;1;3;2;3;2;2;1;2;2;1;3;1;1;3;3;3;1;3;2;3;3;3;3;3
USERGRP38;1;1;1;2;2;2;3;2;2;2;3;1;3;2;2;2;2;3;3;1;2;3;1;2;1;3;2;3;2;2;1;1;3;1;3;1;1;3;1;3;3;1;3;3;1;3;2;3;2;1;2;2;1;2;2;2;3;2;2;3;3;2;1;3;2;3;1;2;1;1;3;2;3;1;3;2;1;3;3;1;1;1;2;2;3;1;1;2;2;3;2;3;2;1;2;2;3;2;3;3;1;1;1;2;3;1;2;1
USERGRP39;1;3;1;3;2;1;3;1;2;2;3;2;3;1;3;2;1;1;3;3;3;3;3;1;2;3;3;3;2;3;3;3;3;3;2;2;1;1;1;2;2;2;3;2;2;2;3;1;3;2;2;2;2;3;3;1;2;3;1;2;1;3;2;3;2;2;1;1;3;1;3;1;1;3;1;3;3;1;3;3;1;3;2;3;2;1;2;2;1;2;2;2;3;2;2;3;3;2;1;3;2;3;1;2;1;1;3;2
USERGRP40;2;2;2;2;1;3;3;1;2;2;2;2;3;2;2;3;1;1;3;2;2;1;2;2;2;1;1;2;1;1;3;3;1;1;3;1;1;3;1;3;2;1;3;1;2;2;3;2;3;1;3;2;1;1;3;3;3;3;3;1;2;3;3;3;2;3;3;3;3;3;2;2;1;1;1;2;2;2;3;2;2;2;3;1;3;2;2;2;2;3;3;1;2;3;1;2;1;3;2;3;2;2;1;1;3;1;3;1
USERGRP41;3;3;1;1;2;2;1;1;1;3;2;1;3;3;3;2;3;1;2;3;1;3;2;2;1;1;2;1;2;3;2;3;1;1;1;1;2;2;2;2;1;3;3;1;2;2;2;2;3;2;2;3;1;1;3;2;2;1;2;2;2;1;1;2;1;1;3;3;1;1;3;1;1;3;1;3;2;1;3;1;2;2;3;2;3;1;3;2;1;1;3;3;3;3;3;1;2;3;3;3;2;3;3;3;3;3;2;2
USERGRP42;3;3;1;2;2;3;3;2;2;2;2;3;3;1;2;2;1;1;3;2;2;2;3;1;2;3;2;3;1;3;3;2;1;3;1;1;3;3;1;1;2;2;1;1;1;3;2;1;3;3;3;2;3;1;2;3;1;3;2;2;1;1;2;1;2;3;2;3;1;1;1;1;2;2;2;2;1;3;3;1;2;2;2;2;3;2;2;3;1;1;3;2;2;1;2;2;2;1;1;2;1;1;3;3;1;1;3;1
USERGRP43;2;2;2;3;1;3;2;2;2;3;3;2;1;1;3;1;2;3;2;3;3;2;3;2;2;2;2;3;1;1;2;1;2;2;2;3;3;3;1;2;2;3;3;2;2;2;2;3;3;1;2;2;1;1;3;2;2;2;3;1;2;3;2;3;1;3;3;2;1;3;1;1;3;3;1;1;2;2;1;1;1;3;2;1;3;3;3;2;3;1;2;3;1;3;2;2;1;1;2;1;2;3;2;3;1;1;1;1
USERGRP44;1;2;3;2;1;2;1;2;1;2;2;1;3;1;1;1;3;3;3;1;1;1;2;2;3;3;1;1;1;1;1;2;1;3;3;1;2;2;2;3;1;3;2;2;2;3;3;2;1;1;3;1;2;3;2;3;3;2;3;2;2;2;2;3;1;1;2;1;2;2;2;3;3;3;1;2;2;3;3;2;2;2;2;3;3;1;2;2;1;1;3;2;2;2;3;1;2;3;2;3;1;3;3;2;1;3;1;1
USERGRP45;3;1;2;1;2;3;3;1;3;2;3;3;2;1;1;1;1;2;1;3;1;2;1;3;1;1;1;1;3;2;3;3;3;2;3;1;1;2;3;2;1;2;1;2;1;2;2;1;3;1;1;1;3;3;3;1;1;1;2;2;3;3;1;1;1;1;1;2;1;3;3;1;2;2;2;3;1;3;2;2;2;3;3;2;1;1;3;1;2;3;2;3;3;2;3;2;2;2;2;3;1;1;2;1;2;2;2;3
USERGRP46;1;2;3;2;3;2;2;2;1;2;1;3;1;1;1;1;2;3;1;2;1;1;3;2;3;2;1;2;1;1;3;1;2;1;3;3;3;1;2;1;2;3;3;1;3;2;3;3;2;1;1;1;1;2;1;3;1;2;1;3;1;1;1;1;3;2;3;3;3;2;3;1;1;2;3;2;1;2;1;2;1;2;2;1;3;1;1;1;3;3;3;1;1;1;2;2;3;3;1;1;1;1;1;2;1;3;3;1
USERGRP47;1;3;3;3;1;2;1;3;2;1;1;2;1;1;1;2;3;2;3;1;2;2;1;3;2;3;2;1;2;3;3;1;1;3;2;1;1;2;3;2;3;2;2;2;1;2;1;3;1;1;1;1;2;3;1;2;1;1;3;2;3;2;1;2;1;1;3;1;2;1;3;3;3;1;2;1;2;3;3;1;3;2;3;3;2;1;1;1;1;2;1;3;1;2;1;3;1;1;1;1;3;2;3;3;3;2;3;1
USERGRP48;1;1;1;2;2;3;2;1;3;2;1;1;1;1;1;2;1;3;2;3;1;3;2;3;2;2;1;2;2;3;1;2;3;2;3;1;1;3;3;3;1;2;1;3;2;1;1;2;1;1;1;2;3;2;3;1;2;2;1;3;2;3;2;1;2;3;3;1;1;3;2;1;1;2;3;2;3;2;2;2;1;2;1;3;1;1;1;1;2;3;1;2;1;1;3;2;3;2;1;2;1;1;3;1;2;1;3;3
USERGRP49;2;3;2;1;2;1;1;1;2;2;3;1;1;1;3;1;1;3;2;3;2;1;3;2;1;2;3;2;2;3;2;3;3;2;1;2;1;1;1;2;2;3;2;1;3;2;1;1;1;1;1;2;1;3;2;3;1;3;2;3;2;2;1;2;2;3;1;2;3;2;3;1;1;3;3;3;1;2;1;3;2;1;1;2;1;1;1;2;3;2;3;1;2;2;1;3;2;3;2;1;2;3;3;1;1;3;2;1
USERGRP50;1;1;1;2;2;3;2;2;1;1;1;1;1;1;1;1;1;3;1;1;3;1;1;3;1;2;1;2;1;1;2;1;2;1;3;1;2;3;2;1;2;1;1;1;2;2;3;1;1;1;3;1;1;3;2;3;2;1;3;2;1;2;3;2;2;3;2;3;3;2;1;2;1;1;1;2;2;3;2;1;3;2;1;1;1;1;1;2;1;3;2;3;1;3;2;3;2;2;1;2;2;3;1;2;3;2;3;1
USERGRP51;1;3;1;3;2;2;3;1;3;2;1;3;3;2;2;2;2;1;2;2;2;3;1;1;2;1;1;1;3;3;3;2;2;1;1;3;1;1;1;2;2;3;2;2;1;1;1;1;1;1;1;1;1;3;1;1;3;1;1;3;1;2;1;2;1;1;2;1;2;1;3;1;2;3;2;1;2;1;1;1;2;2;3;1;1;1;3;1;1;3;2;3;2;1;3;2;1;2;3;2;2;3;2;3;3;2;1;2
USERGRP52;2;3;3;2;1;1;1;2;2;1;2;3;3;2;3;2;3;3;1;2;1;1;1;1;3;2;1;2;3;3;3;3;2;2;1;3;1;3;1;3;2;2;3;1;3;2;1;3;3;2;2;2;2;1;2;2;2;3;1;1;2;1;1;1;3;3;3;2;2;1;1;3;1;1;1;2;2;3;2;2;1;1;1;1;1;1;1;1;1;3;1;1;3;1;1;3;1;2;1;2;1;1;2;1;2;1;3;1
USERGRP53;2;3;3;2;1;1;1;1;3;1;1;2;3;3;2;3;3;1;1;1;1;1;1;3;3;2;2;2;3;2;2;1;1;2;2;2;2;3;3;2;1;1;1;2;2;1;2;3;3;2;3;2;3;3;1;2;1;1;1;1;3;2;1;2;3;3;3;3;2;2;1;3;1;3;1;3;2;2;3;1;3;2;1;3;3;2;2;2;2;1;2;2;2;3;1;1;2;1;1;1;3;3;3;2;2;1;1;3
USERGRP54;2;3;2;1;3;1;2;2;2;3;2;1;2;1;1;2;3;3;1;2;2;1;3;3;1;2;3;3;3;3;1;1;2;2;2;1;2;3;3;2;1;1;1;1;3;1;1;2;3;3;2;3;3;1;1;1;1;1;1;3;3;2;2;2;3;2;2;1;1;2;2;2;2;3;3;2;1;1;1;2;2;1;2;3;3;2;3;2;3;3;1;2;1;1;1;1;3;2;1;2;3;3;3;3;2;2;1;3
USERGRP55;2;1;3;1;2;2;1;2;3;2;3;3;2;2;2;2;1;2;2;2;2;1;2;1;3;3;2;2;3;1;2;2;3;2;1;3;2;3;2;1;3;1;2;2;2;3;2;1;2;1;1;2;3;3;1;2;2;1;3;3;1;2;3;3;3;3;1;1;2;2;2;1;2;3;3;2;1;1;1;1;3;1;1;2;3;3;2;3;3;1;1;1;1;1;1;3;3;2;2;2;3;2;2;1;1;2;2;2
USERGRP56;2;2;1;2;2;3;1;2;3;2;3;1;3;2;1;1;2;1;1;1;3;3;1;1;1;2;3;2;1;3;3;3;1;1;1;2;2;1;3;1;2;2;1;2;3;2;3;3;2;2;2;2;1;2;2;2;2;1;2;1;3;3;2;2;3;1;2;2;3;2;1;3;2;3;2;1;3;1;2;2;2;3;2;1;2;1;1;2;3;3;1;2;2;1;3;3;1;2;3;3;3;3;1;1;2;2;2;1
USERGRP57;2;3;3;3;3;1;3;1;3;3;1;2;1;2;1;3;2;1;2;1;2;1;1;2;2;3;1;2;2;2;2;3;3;2;3;1;2;2;1;2;2;3;1;2;3;2;3;1;3;2;1;1;2;1;1;1;3;3;1;1;1;2;3;2;1;3;3;3;1;1;1;2;2;1;3;1;2;2;1;2;3;2;3;3;2;2;2;2;1;2;2;2;2;1;2;1;3;3;2;2;3;1;2;2;3;2;1;3
USERGRP58;2;1;1;1;2;2;2;1;3;1;1;1;2;3;3;3;3;3;2;3;3;2;2;2;2;1;1;1;3;1;1;2;2;2;3;3;2;3;3;3;3;1;3;1;3;3;1;2;1;2;1;3;2;1;2;1;2;1;1;2;2;3;1;2;2;2;2;3;3;2;3;1;2;2;1;2;2;3;1;2;3;2;3;1;3;2;1;1;2;1;1;1;3;3;1;1;1;2;3;2;1;3;3;3;1;1;1;2
USERGRP59;1;3;3;3;2;2;1;2;2;3;2;2;3;2;3;2;1;1;2;2;2;3;2;2;2;2;2;1;2;2;3;2;3;3;1;1;2;1;1;1;2;2;2;1;3;1;1;1;2;3;3;3;3;3;2;3;3;2;2;2;2;1;1;1;3;1;1;2;2;2;3;3;2;3;3;3;3;1;3;1;3;3;1;2;1;2;1;3;2;1;2;1;2;1;1;2;2;3;1;2;2;2;2;3;3;2;3;1
USERGRP60;3;1;2;3;3;2;1;1;2;1;2;3;1;2;1;1;1;2;3;2;1;1;1;1;2;3;1;2;1;1;3;3;1;1;3;1;1;3;3;3;2;2;1;2;2;3;2;2;3;2;3;2;1;1;2;2;2;3;2;2;2;2;2;1;2;2;3;2;3;3;1;1;2;1;1;1;2;2;2;1;3;1;1;1;2;3;3;3;3;3;2;3;3;2;2;2;2;1;1;1;3;1;1;2;2;2;3;3
